"","SITE","n","mean_PM","prop_mean_PM","SST_Mean","SST_range","Latitude","LONGITUDE","prop_mean_PM_adj"
"1","TUT-086",4,16.25,0.1625,28.9006602875174,0.934370323463723,-14.27703,-170.611737,0.1625
"2","TUT-098",3,12.6666666666667,0.126666666666667,28.8929999939383,0.902148070158782,-14.314128,-170.652116,0.126666666666667
"3","TUT-126",75,28.2266666666667,0.282266666666667,28.9541397251495,0.917666682490596,-14.336157,-170.796416,0.282266666666667
"4","TUT-139",56,34.5535714285714,0.345535714285714,28.942750716536,0.915407463356301,-14.352648,-170.787165,0.345535714285714
"5","TUT-157",19,23.1578947368421,0.231578947368421,28.9106493701674,0.934963296960901,-14.274192,-170.619785,0.231578947368421
"6","TUT-171",90,64.5555555555556,0.645555555555556,28.9750547853235,0.932518570511429,-14.332425,-170.824373,0.645555555555556
"7","TUT-214",86,24.0348837209302,0.240348837209302,28.9006602875174,0.934370323463723,-14.28309,-170.607,0.240348837209302
"8","TUT-216",76,35.2236842105263,0.352236842105263,28.9828904347877,0.942963140982169,-14.329052,-170.831801,0.352236842105263
"9","TUT-219",16,18.125,0.18125,28.8998629530815,0.906740895024052,-14.28823,-170.639848,0.18125
"10","TUT-220",13,48.8461538461538,0.488461538461538,28.9152630270344,0.879592542295103,-14.300247,-170.681886,0.488461538461538
"11","TUT-222",92,30.4891304347826,0.304891304347826,28.9315452209891,0.899703767564562,-14.363787,-170.772574,0.304891304347826
"12","TUT-223",90,24.1444444444444,0.241444444444444,28.9370985423049,0.923962981612594,-14.35909,-170.785248,0.241444444444444
