"SITE","n","mean_PM","sd_PM","max_PM"
"TUT-086",4,16.25,22.8673712233537,50
"TUT-098",3,12.6666666666667,6.42910050732864,20
"TUT-126",75,28.2266666666667,31.4215339026088,95
"TUT-139",56,34.5535714285714,35.8227554104204,98
"TUT-157",19,23.1578947368421,26.3634072108687,90
"TUT-171",80,61.325,34.5769276259565,98
"TUT-214",82,24.3536585365854,33.6930120429139,98
"TUT-216",76,35.2236842105263,36.2795070470775,98
"TUT-219",16,18.125,24.7571538482651,80
"TUT-220",13,48.8461538461538,38.7381081835578,95
"TUT-222",92,30.4891304347826,27.2576209991307,98
"TUT-223",89,23.4606741573034,29.1995704279483,95
