"","SITE","DHW_Mean","DHW_Dur","LATITUDE","LONGITUDE","date","mean_PM","sd_PM","maxPM","minPM","n","se"
"1","TUT-210",19.1550903320312,123,-14.301899,-170.679903,2025-02-07,8.63636363636364,14.1581971117281,50,0,11,4.26885704795414
"2","TUT-211",13.4450359344482,104,-14.360358,-170.748776,2025-02-07,5,NA,5,5,1,NA
"3","TUT-212",18.3957347869873,149,-14.338095,-170.793296,2025-02-07,22.05,26.8098240700432,90,0,40,4.2390053864871
"4","TUT-213",20.6169414520264,174,-14.329327,-170.83181,2025-02-07,24.5666666666667,28.0008272678436,90,0,60,3.61489125627963
"5","TUT-125",16.921667098999,149,-14.349654,-170.788046,2025-02-08,44.2727272727273,35.9525902347626,96,0,22,7.6651179928911
"6","TUT-143",14.2508382797241,104,-14.365158,-170.761604,2025-02-08,7.56756756756757,17.414139434731,75,0,37,2.86286688786406
"7","TUT-168",14.3590135574341,149,-14.360877,-170.781335,2025-02-08,26.2666666666667,28.3345979008393,90,0,90,2.98672886505593
"8","TUT-169",18.704626083374,149,-14.330384,-170.812348,2025-02-08,59.5084745762712,37.9574956848769,99,0,59,4.94164502677344
"9","TUT-115",20.1256217956543,142,-14.273272,-170.570134,2025-02-11,2.77777777777778,3.63241578628389,10,0,9,1.21080526209463
"10","TUT-076",17.6321678161621,118,-14.283504,-170.631611,2025-02-12,22.5454545454545,31.2069339614248,80,0,11,9.40924461885866
"11","TUT-109",17.4555721282959,118,-14.284747,-170.600404,2025-02-12,12.6333333333333,23.1659620510958,95,0,90,2.44190680901629
"12","TUT-120",19.4019107818604,119,-14.293418,-170.65432,2025-02-12,35.8571428571429,26.302272217615,75,1,7,9.9413244576761
"13","TUT-204",18.5172061920166,124,-14.29099,-170.560818,2025-02-12,8.6,8.50294066779253,20,0,5,3.80263066836631
"14","TUT-095",19.9817562103271,123,-14.276917,-170.625248,2025-02-13,0,0,0,0,4,0
"15","TUT-074",13.6248970031738,104,-14.360978,-170.736214,2025-02-14,57.5,53.0330085889911,95,20,2,37.5
"16","TUT-091",19.9733333587646,142,-14.278903,-170.586065,2025-02-14,31.7818181818182,31.1398820789716,100,0,55,4.19890084295284
"17","TUT-093",15.3181238174438,104,-14.337165,-170.711077,2025-02-14,11.0588235294118,12.2956831257727,40,0,17,2.98214119215798
"18","TUT-207",19.1003360748291,123,-14.303783,-170.683308,2025-02-14,24.1666666666667,14.6344342790101,40,5,6,5.97448277631164
"19","TUT-208",15.1231355667114,104,-14.348332,-170.725342,2025-02-14,10,NA,10,10,1,NA
"20","TUT-214",17.4555721282959,118,-14.28309,-170.607,2025-03-12,24.0348837209302,33.5729049276412,98,0,86,3.62025944284294
"21","TUT-171",18.8915767669678,149,-14.332425,-170.824373,2025-03-13,64.5555555555556,34.0607887216309,99,0,90,3.59032237540428
"22","TUT-216",20.6169414520264,174,-14.329052,-170.831801,2025-03-14,35.2236842105263,36.2795070470775,98,0,76,4.16154486683375
"23","TUT-126",18.3957347869873,149,-14.336157,-170.796416,2025-03-15,28.2266666666667,31.4215339026088,95,0,75,3.62824621140443
"24","TUT-139",15.5891466140747,149,-14.352648,-170.787165,2025-03-15,34.5535714285714,35.8227554104204,98,0,56,4.78701704985699
"25","TUT-086",20.9342250823975,124,-14.27703,-170.611737,2025-03-18,16.25,22.8673712233537,50,0,4,11.4336856116769
"26","TUT-157",20.9342250823975,124,-14.274192,-170.619785,2025-03-18,23.1578947368421,26.3634072108687,90,0,19,6.04818041260989
"27","TUT-219",17.6321678161621,118,-14.28823,-170.639848,2025-03-18,18.125,24.7571538482651,80,0,16,6.18928846206627
"28","TUT-220",19.1003360748291,123,-14.300247,-170.681886,2025-03-18,48.8461538461538,38.7381081835578,95,0,13,10.7440181054068
"29","TUT-222",14.2315549850464,104,-14.363787,-170.772574,2025-03-19,30.4891304347826,27.2576209991307,98,0,92,2.84180343561178
"30","TUT-223",15.5891466140747,149,-14.35909,-170.785248,2025-03-19,24.1444444444444,29.7508610435725,95,0,90,3.13601610829543
"31","TUT-098",18.0591239929199,187,-14.314128,-170.652116,2025-03-21,12.6666666666667,6.42910050732864,20,8,3,3.71184290855335
