"Var1","Var2","Correlation","P_Value"
"DHW_Dur","lat",-0.816214730372165,0.00066552669549723
"DHW_Dur","SST_AnnRange",-0.666582745363456,0.012841252505568
"DHW_Dur","SST_Mean",0.870157838681037,0.000109825273228748
"DHW_Dur","SST_MonthRange",0.748241213134081,0.00326259661073273
"DHW_Dur","SST_Q05",0.795574197485512,0.00114542530803327
"DHW_Dur","SST_Q95",0.738501237063383,0.00393825922663481
"DHW_Dur","SST_SD",0.649432571480206,0.0162976847585604
"DHW_Dur_Major","DHW_Max_Major",0.873690079703949,9.50371886843873e-05
"DHW_Dur_Major","DHW_Mean",0.873690079703949,9.50371886843873e-05
"DHW_Dur_Major","DHW_MeanMax_Major",0.873690079703949,9.50371886843873e-05
"DHW_Dur_Major","SST_Mean",0.643047660589376,0.0177477519893971
"DHW_Dur_Major","SST_Q05",0.744623530023454,0.00350212266112608
"DHW_Dur_Major","SST_Q95",0.616564830192552,0.0248104055678562
"DHW_Max_Major","DHW_Dur_Major",0.873690079703949,9.50371886843873e-05
"DHW_Max_Major","DHW_Mean",1,0
"DHW_Max_Major","DHW_MeanMax_Major",1,0
"DHW_Max_Major","SST_Q05",0.575056601003708,0.0397796467136043
"DHW_Mean","DHW_Dur_Major",0.873690079703949,9.50371886843873e-05
"DHW_Mean","DHW_Max_Major",1,0
"DHW_Mean","DHW_MeanMax_Major",1,0
"DHW_Mean","SST_Q05",0.575056601003708,0.0397796467136043
"DHW_MeanMax_Major","DHW_Dur_Major",0.873690079703949,9.50371886843873e-05
"DHW_MeanMax_Major","DHW_Max_Major",1,0
"DHW_MeanMax_Major","DHW_Mean",1,0
"DHW_MeanMax_Major","SST_Q05",0.575056601003708,0.0397796467136043
"lat","DHW_Dur",-0.816214730372165,0.00066552669549723
"lat","SST_AnnRange",0.808983304871689,0.000810788237846349
"lat","SST_Mean",-0.630697919863931,0.0208233311765274
"lat","SST_Q05",-0.619606713378745,0.0239082459503666
"SST_AnnRange","DHW_Dur",-0.666582745363456,0.012841252505568
"SST_AnnRange","lat",0.808983304871689,0.000810788237846349
"SST_AnnRange","SST_Mean",-0.717693918699833,0.00574105012712289
"SST_AnnRange","SST_Q05",-0.739386513444584,0.00387272803926178
"SST_BiweekRange","SST_MonthRange",0.817227855170633,0.000646937933831841
"SST_BiweekRange","SST_Q95",0.628651800216516,0.0213688294215914
"SST_BiweekRange","SST_SD",0.768891107588374,0.00212787574320429
"SST_Mean","DHW_Dur",0.870157838681037,0.000109825273228748
"SST_Mean","DHW_Dur_Major",0.643047660589376,0.0177477519893971
"SST_Mean","lat",-0.630697919863931,0.0208233311765274
"SST_Mean","SST_AnnRange",-0.717693918699833,0.00574105012712289
"SST_Mean","SST_MonthRange",0.737029955991007,0.00404906050310579
"SST_Mean","SST_Q05",0.920370309285371,8.24310815403613e-06
"SST_Mean","SST_Q95",0.886633474236139,5.38112706710413e-05
"SST_Mean","SST_SD",0.781429034135829,0.0016071417167035
"SST_MonthRange","DHW_Dur",0.748241213134081,0.00326259661073273
"SST_MonthRange","SST_BiweekRange",0.817227855170633,0.000646937933831841
"SST_MonthRange","SST_Mean",0.737029955991007,0.00404906050310579
"SST_MonthRange","SST_Q05",0.650434609440172,0.0160784340782592
"SST_MonthRange","SST_Q95",0.892297713238625,4.10520782954163e-05
"SST_MonthRange","SST_SD",0.918931039712954,9.07090435109039e-06
"SST_Q05","DHW_Dur",0.795574197485512,0.00114542530803327
"SST_Q05","DHW_Dur_Major",0.744623530023454,0.00350212266112608
"SST_Q05","DHW_Max_Major",0.575056601003708,0.0397796467136043
"SST_Q05","DHW_Mean",0.575056601003708,0.0397796467136043
"SST_Q05","DHW_MeanMax_Major",0.575056601003708,0.0397796467136043
"SST_Q05","lat",-0.619606713378745,0.0239082459503666
"SST_Q05","SST_AnnRange",-0.739386513444584,0.00387272803926178
"SST_Q05","SST_Mean",0.920370309285371,8.24310815403613e-06
"SST_Q05","SST_MonthRange",0.650434609440172,0.0160784340782592
"SST_Q05","SST_Q95",0.770747832025728,0.00204343955025816
"SST_Q05","SST_SD",0.631866004312797,0.0205165981737444
"SST_Q95","DHW_Dur",0.738501237063383,0.00393825922663481
"SST_Q95","DHW_Dur_Major",0.616564830192552,0.0248104055678562
"SST_Q95","SST_BiweekRange",0.628651800216516,0.0213688294215914
"SST_Q95","SST_Mean",0.886633474236139,5.38112706710413e-05
"SST_Q95","SST_MonthRange",0.892297713238625,4.10520782954163e-05
"SST_Q95","SST_Q05",0.770747832025728,0.00204343955025816
"SST_Q95","SST_SD",0.947067641051513,9.18964656654133e-07
"SST_SD","DHW_Dur",0.649432571480206,0.0162976847585604
"SST_SD","SST_BiweekRange",0.768891107588374,0.00212787574320429
"SST_SD","SST_Mean",0.781429034135829,0.0016071417167035
"SST_SD","SST_MonthRange",0.918931039712954,9.07090435109039e-06
"SST_SD","SST_Q05",0.631866004312797,0.0205165981737444
"SST_SD","SST_Q95",0.947067641051513,9.18964656654133e-07
