"","SITE","TAIL_BINS","n","mean_PM","DHW_Mean","DHW_Dur"
"1","TUT-126","Q20",15,0.866666666666667,18.3957347869873,149
"2","TUT-139","Q20",8,0,15.5891466140747,149
"3","TUT-157","Q20",4,7.5,20.9342250823975,124
"4","TUT-171","Q20",9,2.77777777777778,18.8915767669678,149
"5","TUT-214","Q20",28,0.714285714285714,17.4555721282959,118
"6","TUT-216","Q20",12,0,20.6169414520264,174
"7","TUT-219","Q20",3,8.33333333333333,17.6321678161621,118
"8","TUT-220","Q20",1,10,19.1003360748291,123
"9","TUT-222","Q20",3,0,14.2315549850464,104
"10","TUT-223","Q20",26,2.15384615384615,15.5891466140747,149
