"YEAR","TAIL_BINS","Mean_PM","SD_PM","SE_PM","CI_Lower","CI_Upper","N"
2015,"Q20",2.8125,6.31631485387907,1.57907871346977,-0.553226606228248,6.17822660622825,16
2015,"Q80",14.6666666666667,17.4547032821147,7.12585277547732,-3.65092104139394,32.9842543747273,6
2015,"QMED",9.06451612903226,19.5105706116299,3.50420192741651,1.9079810513518,16.2210512067127,31
2018,"Q20",0.909090909090909,3.01511344577764,0.909090909090909,-1.11648986544207,2.93467168362389,11
2018,"Q80",20.4545454545455,24.0265005207318,7.24426247750419,4.31332277443202,36.5957681346589,11
2018,"QMED",3.72727272727273,5.2660803005273,1.12273209245859,1.39242352387577,6.06212193066969,22
2023,"Q20",1.64516129032258,4.30153760955912,0.772578961544398,0.0673445568426443,3.22297802380252,31
2023,"Q80",14.0571428571429,17.6067214056298,2.97607910155753,8.00902244370735,20.1052632705784,35
2023,"QMED",7.76991150442478,15.7321377450051,1.47995502810115,4.83757032446068,10.7022526843889,113
2025,"Q20",1.64220183486239,4.93386434037823,0.472578495292958,0.705469272711218,2.57893439701355,109
2025,"Q80",61.8923076923077,28.7280833954328,2.05726078221147,57.8348390454975,65.9497763391179,195
2025,"QMED",25.7308970099668,29.233610944585,1.68499732233524,22.4149857053764,29.0468083145572,301
